	identifier	source	file	clip	clip_soft	scale	sum_stat	strand_pair	description	strand
83	ENCFF908VIH+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR245ATJ/summary/coverage+.w5	384	384	0.3	sum_sqrt	84	RNA:HepG2	+
84	ENCFF908VIH-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR245ATJ/summary/coverage-.w5	384	384	0.3	sum_sqrt	83	RNA:HepG2	-
85	ENCFF801PRP+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR329MHM/summary/coverage+.w5	384	384	0.3	sum_sqrt	86	RNA:HepG2	+
86	ENCFF801PRP-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR329MHM/summary/coverage-.w5	384	384	0.3	sum_sqrt	85	RNA:HepG2	-
87	ENCFF301XEH+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR355JZC/summary/coverage+.w5	384	384	0.3	sum_sqrt	88	RNA:MCF-7	+
88	ENCFF301XEH-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR355JZC/summary/coverage-.w5	384	384	0.3	sum_sqrt	87	RNA:MCF-7	-
89	ENCFF181QTI+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR490SQH/summary/coverage+.w5	384	384	0.3	sum_sqrt	90	RNA:H7	+
90	ENCFF181QTI-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR490SQH/summary/coverage-.w5	384	384	0.3	sum_sqrt	89	RNA:H7	-
91	ENCFF150UWD+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR552EGO/summary/coverage+.w5	384	384	0.3	sum_sqrt	92	RNA:HeLa-S3	+
92	ENCFF150UWD-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR552EGO/summary/coverage-.w5	384	384	0.3	sum_sqrt	91	RNA:HeLa-S3	-
93	ENCFF917RKL+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR561FEE/summary/coverage+.w5	384	384	0.3	sum_sqrt	94	RNA:HepG2	+
94	ENCFF917RKL-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR561FEE/summary/coverage-.w5	384	384	0.3	sum_sqrt	93	RNA:HepG2	-
95	ENCFF520RFL+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR588EJX/summary/coverage+.w5	384	384	0.3	sum_sqrt	96	RNA:H1	+
96	ENCFF520RFL-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR588EJX/summary/coverage-.w5	384	384	0.3	sum_sqrt	95	RNA:H1	-
97	ENCFF585HTZ+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR615EEK/summary/coverage+.w5	384	384	0.3	sum_sqrt	98	RNA:K562	+
98	ENCFF585HTZ-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR615EEK/summary/coverage-.w5	384	384	0.3	sum_sqrt	97	RNA:K562	-
99	ENCFF544ZDA+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR637VLS/summary/coverage+.w5	384	384	0.3	sum_sqrt	100	RNA:K562	+
100	ENCFF544ZDA-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR637VLS/summary/coverage-.w5	384	384	0.3	sum_sqrt	99	RNA:K562	-
101	ENCFF190ZWO+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR670WQY/summary/coverage+.w5	384	384	0.3	sum_sqrt	102	RNA:H1	+
102	ENCFF190ZWO-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR670WQY/summary/coverage-.w5	384	384	0.3	sum_sqrt	101	RNA:H1	-
103	ENCFF920HIF+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR712BRU/summary/coverage+.w5	384	384	0.3	sum_sqrt	104	RNA:H9	+
104	ENCFF920HIF-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR712BRU/summary/coverage-.w5	384	384	0.3	sum_sqrt	103	RNA:H9	-
105	ENCFF312ZLI+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR792OIJ/summary/coverage+.w5	384	384	0.3	sum_sqrt	106	RNA:K562	+
106	ENCFF312ZLI-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR792OIJ/summary/coverage-.w5	384	384	0.3	sum_sqrt	105	RNA:K562	-
107	ENCFF509KPQ+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR820PHH/summary/coverage+.w5	384	384	0.3	sum_sqrt	108	RNA:GM12878	+
108	ENCFF509KPQ-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR820PHH/summary/coverage-.w5	384	384	0.3	sum_sqrt	107	RNA:GM12878	-
109	ENCFF463TDW	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR843RJV/summary/coverage.w5	384	384	0.3	sum_sqrt	109	RNA:GM12878	.
110	ENCFF278EZT+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR885DVH/summary/coverage+.w5	384	384	0.3	sum_sqrt	111	RNA:K562	+
111	ENCFF278EZT-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR885DVH/summary/coverage-.w5	384	384	0.3	sum_sqrt	110	RNA:K562	-
112	ENCFF279MVV	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR889TRN/summary/coverage.w5	384	384	0.3	sum_sqrt	112	RNA:GM12878	.
113	ENCFF031QGE+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR895ZTB/summary/coverage+.w5	384	384	0.3	sum_sqrt	114	RNA:H1	+
114	ENCFF031QGE-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR895ZTB/summary/coverage-.w5	384	384	0.3	sum_sqrt	113	RNA:H1	-
115	ENCFF696GRP+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR985KAT/summary/coverage+.w5	384	384	0.3	sum_sqrt	116	RNA:HepG2	+
116	ENCFF696GRP-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR985KAT/summary/coverage-.w5	384	384	0.3	sum_sqrt	115	RNA:HepG2	-
117	SRS008850	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP001540/SRS008850/coverage.w5	384	384	0.02	sum_sqrt	117	RNA:HapMap LCL RNA-seq of YRI individual (NA19257_yale)	.
118	SRS008852	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP001540/SRS008852/coverage.w5	384	384	0.02	sum_sqrt	118	RNA:HapMap LCL RNA-seq of YRI individual (NA19131_yale)	.
119	SRS008862	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP001540/SRS008862/coverage.w5	384	384	0.02	sum_sqrt	119	RNA:HapMap LCL RNA-seq of YRI individual (NA19190_yale)	.
120	SRS008895	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP001540/SRS008895/coverage.w5	384	384	0.02	sum_sqrt	120	RNA:HapMap LCL RNA-seq of YRI individual (NA19131_argonne)	.
121	SRS008897	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP001540/SRS008897/coverage.w5	384	384	0.02	sum_sqrt	121	RNA:HapMap LCL RNA-seq of YRI individual (NA19190_argonne)	.
122	SRS008899	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP001540/SRS008899/coverage.w5	384	384	0.02	sum_sqrt	122	RNA:HapMap LCL RNA-seq of YRI individual (NA19257_argonne)	.
123	SRS465179	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465179/coverage.w5	384	384	0.02	sum_sqrt	123	RNA:ActD:HeLa mRNA lifetime-SiControl-TI-0h D1	.
124	SRS465180	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465180/coverage.w5	384	384	0.02	sum_sqrt	124	RNA:ActD:HeLa mRNA lifetime-SiControl-TI-3h D2	.
125	SRS465181	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465181/coverage.w5	384	384	0.02	sum_sqrt	125	RNA:ActD:HeLa mRNA lifetime-SiControl-TI-6h D3	.
126	SRS465182	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465182/coverage.w5	384	384	0.02	sum_sqrt	126	RNA:ActD:HeLa mRNA lifetime-SiYTHDF2-TI-0h D4	.
127	SRS465183	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465183/coverage.w5	384	384	0.02	sum_sqrt	127	RNA:ActD:HeLa mRNA lifetime-SiYTHDF2-TI-3h D5	.
128	SRS465184	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465184/coverage.w5	384	384	0.02	sum_sqrt	128	RNA:ActD:HeLa mRNA lifetime-SiYTHDF2-TI-6h D6	.
129	SRS465185	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465185/coverage.w5	384	384	0.02	sum_sqrt	129	RNA:ActD:HeLa mRNA lifetime-SiControl-TI-0h E1	.
130	SRS465186	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465186/coverage.w5	384	384	0.02	sum_sqrt	130	RNA:ActD:HeLa mRNA lifetime-SiControl-TI-3h E2	.
131	SRS465187	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465187/coverage.w5	384	384	0.02	sum_sqrt	131	RNA:ActD:HeLa mRNA lifetime-SiControl-TI-6h E3	.
132	SRS465188	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465188/coverage.w5	384	384	0.02	sum_sqrt	132	RNA:ActD:HeLa mRNA lifetime-SiYTHDF2-TI-0h E4	.
133	SRS465189	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465189/coverage.w5	384	384	0.02	sum_sqrt	133	RNA:ActD:HeLa mRNA lifetime-SiYTHDF2-TI-3h E5	.
134	SRS465190	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028325/SRS465190/coverage.w5	384	384	0.02	sum_sqrt	134	RNA:ActD:HeLa mRNA lifetime-SiYTHDF2-TI-6h E6	.
135	SRS504583	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028887/SRS504583/coverage.w5	384	384	0.02	sum_sqrt	135	RNA:4sU:HEK293 4suRNA	.
136	SRS504584	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028887/SRS504584/coverage.w5	384	384	0.02	sum_sqrt	136	RNA:4sU:HEK293 total RNA	.
137	SRS504585	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028887/SRS504585/coverage.w5	384	384	0.02	sum_sqrt	137	RNA:4sU:HEK293 flow-through	.
138	SRS504588	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028887/SRS504588/coverage.w5	384	384	0.02	sum_sqrt	138	RNA:4sU:MCF7 total RNA	.
139	SRS529941	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP028887/SRS529941/coverage.w5	384	384	0.02	sum_sqrt	139	RNA:4sU:HEK293 mRNAseq library	.
140	SRS1013658	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013658/coverage.w5	384	384	0.02	sum_sqrt	140	RNA:4sU:Jurkat 4sU-labeled RNA 4 hours 4CIP	.
141	SRS1013659	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013659/coverage.w5	384	384	0.02	sum_sqrt	141	RNA:4sU:Jurkat 4sU-labeled RNA 4 hours 4BIP	.
142	SRS1013660	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013660/coverage.w5	384	384	0.02	sum_sqrt	142	RNA:4sU:Jurkat 4sU-labeled RNA 4 hours 4AIP	.
143	SRS1013661	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013661/coverage.w5	384	384	0.02	sum_sqrt	143	RNA:4sU:Jurkat 4sU-labeled RNA 3 hours 3CIP	.
144	SRS1013662	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013662/coverage.w5	384	384	0.02	sum_sqrt	144	RNA:4sU:Jurkat 4sU-labeled RNA 3 hours 3BIP	.
145	SRS1013663	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013663/coverage.w5	384	384	0.02	sum_sqrt	145	RNA:4sU:Jurkat 4sU-labeled RNA 3 hours 3AIP	.
146	SRS1013664	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013664/coverage.w5	384	384	0.02	sum_sqrt	146	RNA:4sU:Jurkat 4sU-labeled RNA 2 hours 2CIP	.
147	SRS1013665	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013665/coverage.w5	384	384	0.02	sum_sqrt	147	RNA:4sU:Jurkat 4sU-labeled RNA 2 hours 2BIP	.
148	SRS1013666	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013666/coverage.w5	384	384	0.02	sum_sqrt	148	RNA:4sU:Jurkat 4sU-labeled RNA 2 hours 2AIP	.
149	SRS1013667	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013667/coverage.w5	384	384	0.02	sum_sqrt	149	RNA:4sU:Jurkat 4sU-labeled RNA 1 hour 1CIP	.
150	SRS1013668	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013668/coverage.w5	384	384	0.02	sum_sqrt	150	RNA:4sU:Jurkat 4sU-labeled RNA 1 hour 1AIP	.
151	SRS1013669	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013669/coverage.w5	384	384	0.02	sum_sqrt	151	RNA:4sU:Jurkat 4sU-labeled RNA Unactivated UCIP	.
152	SRS1013670	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013670/coverage.w5	384	384	0.02	sum_sqrt	152	RNA:4sU:Jurkat 4sU-labeled RNA Unactivated UBIP	.
153	SRS1013671	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013671/coverage.w5	384	384	0.02	sum_sqrt	153	RNA:4sU:Jurkat 4sU-labeled RNA Unactivated UAIP	.
154	SRS1013672	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013672/coverage.w5	384	384	0.02	sum_sqrt	154	RNA:4sU:Jurkat total RNA 4 hours 4CT	.
155	SRS1013673	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013673/coverage.w5	384	384	0.02	sum_sqrt	155	RNA:4sU:Jurkat total RNA 4 hours 4BT	.
156	SRS1013674	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013674/coverage.w5	384	384	0.02	sum_sqrt	156	RNA:4sU:Jurkat total RNA 4 hours 4AT	.
157	SRS1013675	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013675/coverage.w5	384	384	0.02	sum_sqrt	157	RNA:4sU:Jurkat total RNA 3 hours 3CT	.
158	SRS1013676	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013676/coverage.w5	384	384	0.02	sum_sqrt	158	RNA:4sU:Jurkat total RNA 3 hours 3BT	.
159	SRS1013677	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013677/coverage.w5	384	384	0.02	sum_sqrt	159	RNA:4sU:Jurkat total RNA 3 hours 3AT	.
160	SRS1013678	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013678/coverage.w5	384	384	0.02	sum_sqrt	160	RNA:4sU:Jurkat total RNA 2 hours 2CT	.
161	SRS1013679	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013679/coverage.w5	384	384	0.02	sum_sqrt	161	RNA:4sU:Jurkat total RNA 2 hours 2BT	.
162	SRS1013680	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013680/coverage.w5	384	384	0.02	sum_sqrt	162	RNA:4sU:Jurkat total RNA 2 hours 2AT	.
163	SRS1013681	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013681/coverage.w5	384	384	0.02	sum_sqrt	163	RNA:4sU:Jurkat total RNA 1 hours 1CT	.
164	SRS1013682	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013682/coverage.w5	384	384	0.02	sum_sqrt	164	RNA:4sU:Jurkat total RNA 1 hours 1AT	.
165	SRS1013683	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013683/coverage.w5	384	384	0.02	sum_sqrt	165	RNA:4sU:Jurkat total RNA Unactivated hours UCT	.
166	SRS1013684	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013684/coverage.w5	384	384	0.02	sum_sqrt	166	RNA:4sU:Jurkat total RNA Unactivated hours UBT	.
167	SRS1013685	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP061639/SRS1013685/coverage.w5	384	384	0.02	sum_sqrt	167	RNA:4sU:Jurkat total RNA Unactivated hours UAT	.
168	SRS1170024	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP066450/SRS1170024/coverage.w5	384	384	0.02	sum_sqrt	168	RNA:4sU:HapMap LCL 4sU-seq of YRI individual (NA19257) [19257-60-1_C311JACXX-6-19]	.
169	SRS1170025	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP066450/SRS1170025/coverage.w5	384	384	0.02	sum_sqrt	169	RNA:4sU:HapMap LCL 4sU-seq of YRI individual (NA19257) [19257-60-1_C30NNACXX-6-19]	.
170	SRS1170026	recount3	/scratch4/jlinder/tillage/datasets/human/rna/recount3/SRP066450/SRS1170026/coverage.w5	384	384	0.02	sum_sqrt	170	RNA:4sU:HapMap LCL 4sU-seq of YRI individual (NA19257) [19257-60-1_C30BHACXX-6-19]	.
