	identifier	source	file	clip	clip_soft	scale	sum_stat	strand_pair	description	strand
46	SRS183257	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP006165/SRS183257/coverage.w5	384	384	0.02	sum_sqrt	46	RNA:4sU:3T3 RNA-seq of newly synthesized RNA within 2 hours from 3t3 cells	.
47	SRS183258	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP006165/SRS183258/coverage.w5	384	384	0.02	sum_sqrt	47	RNA:4sU:3T3 RNA-seq of preexisting RNA after 2 hours from 3t3 cells	.
48	SRS183259	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP006165/SRS183259/coverage.w5	384	384	0.02	sum_sqrt	48	RNA:4sU:3T3 RNA-seq of bulk RNA in 3t3 cells	.
49	SRS183266	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP006165/SRS183266/coverage.w5	384	384	0.02	sum_sqrt	49	RNA:4sU:3T3 newly synthesized replicate	.
50	SRS183267	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP006165/SRS183267/coverage.w5	384	384	0.02	sum_sqrt	50	RNA:4sU:3T3 preexisting_replicate	.
51	SRS183268	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP006165/SRS183268/coverage.w5	384	384	0.02	sum_sqrt	51	RNA:4sU:3T3 Bulk_RNA_replicate	.
52	SRS398501	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398501/coverage.w5	384	384	0.02	sum_sqrt	52	RNA:ActD:3T3 3P-Seq	.
53	SRS398503	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398503/coverage.w5	384	384	0.02	sum_sqrt	53	RNA:ActD:3T3 2P-Seq control 1	.
54	SRS398504	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398504/coverage.w5	384	384	0.02	sum_sqrt	54	RNA:ActD:3T3 2P-Seq control 2	.
55	SRS398505	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398505/coverage.w5	384	384	0.02	sum_sqrt	55	RNA:ActD:3T3 2P-Seq actD 1h	.
56	SRS398506	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398506/coverage.w5	384	384	0.02	sum_sqrt	56	RNA:ActD:3T3 2P-Seq actD 2h	.
57	SRS398507	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398507/coverage.w5	384	384	0.02	sum_sqrt	57	RNA:ActD:3T3 2P-Seq actD 4h	.
58	SRS398508	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398508/coverage.w5	384	384	0.02	sum_sqrt	58	RNA:ActD:3T3 2P-Seq actD 8h	.
59	SRS398509	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398509/coverage.w5	384	384	0.02	sum_sqrt	59	RNA:ActD:3T3 2P-Seq fraction 1	.
60	SRS398510	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398510/coverage.w5	384	384	0.02	sum_sqrt	60	RNA:ActD:3T3 2P-Seq fraction 2	.
61	SRS398511	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398511/coverage.w5	384	384	0.02	sum_sqrt	61	RNA:ActD:3T3 2P-Seq fraction 3	.
62	SRS398512	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398512/coverage.w5	384	384	0.02	sum_sqrt	62	RNA:ActD:3T3 2P-Seq fraction 4	.
63	SRS398513	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398513/coverage.w5	384	384	0.02	sum_sqrt	63	RNA:ActD:3T3 2P-Seq fraction 5	.
64	SRS398514	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP018886/SRS398514/coverage.w5	384	384	0.02	sum_sqrt	64	RNA:ActD:3T3 2P-Seq fraction 6	.
65	SRS595523	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595523/coverage.w5	384	384	0.02	sum_sqrt	65	RNA:4sU:Dendritic Cell LPS_0min_RNA_total	.
66	SRS595525	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595525/coverage.w5	384	384	0.02	sum_sqrt	66	RNA:4sU:Dendritic Cell LPS_135min_RNA_total	.
67	SRS595526	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595526/coverage.w5	384	384	0.02	sum_sqrt	67	RNA:4sU:Dendritic Cell LPS_150min_RNA_total	.
68	SRS595527	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595527/coverage.w5	384	384	0.02	sum_sqrt	68	RNA:4sU:Dendritic Cell LPS_165min_RNA_total	.
69	SRS595528	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595528/coverage.w5	384	384	0.02	sum_sqrt	69	RNA:4sU:Dendritic Cell LPS_180min_RNA_total	.
70	SRS595529	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595529/coverage.w5	384	384	0.02	sum_sqrt	70	RNA:4sU:Dendritic Cell LPS_0min_RNA_4sU	.
71	SRS595530	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595530/coverage.w5	384	384	0.02	sum_sqrt	71	RNA:4sU:Dendritic Cell LPS_30min_RNA_4sU	.
72	SRS595532	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595532/coverage.w5	384	384	0.02	sum_sqrt	72	RNA:4sU:Dendritic Cell LPS_60min_RNA_4sU	.
73	SRS595533	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595533/coverage.w5	384	384	0.02	sum_sqrt	73	RNA:4sU:Dendritic Cell LPS_75min_RNA_4sU	.
74	SRS595534	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595534/coverage.w5	384	384	0.02	sum_sqrt	74	RNA:4sU:Dendritic Cell LPS_90min_RNA_4sU	.
75	SRS595535	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595535/coverage.w5	384	384	0.02	sum_sqrt	75	RNA:4sU:Dendritic Cell LPS_105min_RNA_4sU	.
76	SRS595536	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595536/coverage.w5	384	384	0.02	sum_sqrt	76	RNA:4sU:Dendritic Cell LPS_150min_RNA_4sU	.
77	SRS595537	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595537/coverage.w5	384	384	0.02	sum_sqrt	77	RNA:4sU:Dendritic Cell LPS_165min_RNA_4sU	.
78	SRS595538	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595538/coverage.w5	384	384	0.02	sum_sqrt	78	RNA:4sU:Dendritic Cell LPS_180min_RNA_4sU	.
79	SRS595539	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595539/coverage.w5	384	384	0.02	sum_sqrt	79	RNA:4sU:Dendritic Cell LPS_15min_RNA_total	.
80	SRS595540	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595540/coverage.w5	384	384	0.02	sum_sqrt	80	RNA:4sU:Dendritic Cell LPS_30min_RNA_total	.
81	SRS595541	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595541/coverage.w5	384	384	0.02	sum_sqrt	81	RNA:4sU:Dendritic Cell LPS_75min_RNA_total	.
82	SRS595542	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS595542/coverage.w5	384	384	0.02	sum_sqrt	82	RNA:4sU:Dendritic Cell LPS_15min_RNA_4sU	.
83	SRS596837	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS596837/coverage.w5	384	384	0.02	sum_sqrt	83	RNA:4sU:Dendritic Cell LPS_90min_RNA_total	.
84	SRS596838	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS596838/coverage.w5	384	384	0.02	sum_sqrt	84	RNA:4sU:Dendritic Cell LPS_60min_RNA_total	.
85	SRS596839	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS596839/coverage.w5	384	384	0.02	sum_sqrt	85	RNA:4sU:Dendritic Cell LPS_105min_RNA_total	.
86	SRS596840	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS596840/coverage.w5	384	384	0.02	sum_sqrt	86	RNA:4sU:Dendritic Cell LPS_120min_RNA_total	.
87	SRS596861	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS596861/coverage.w5	384	384	0.02	sum_sqrt	87	RNA:4sU:Dendritic Cell LPS_120min_RNA_4sU	.
88	SRS596862	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP041343/SRS596862/coverage.w5	384	384	0.02	sum_sqrt	88	RNA:4sU:Dendritic Cell LPS_135min_RNA_4sU	.
89	SRS715503	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048595/SRS715503/coverage.w5	384	384	0.02	sum_sqrt	89	RNA:ActD:ESC Mettl3-KO ESCs 0h after Actinomycin treatment	.
90	SRS715505	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048595/SRS715505/coverage.w5	384	384	0.02	sum_sqrt	90	RNA:ActD:ESC Mettl3-KO ESCs 8h after Actinomycin treatment	.
91	SRS715509	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048595/SRS715509/coverage.w5	384	384	0.02	sum_sqrt	91	RNA:ActD:ESC WT ESCs 4h after Actinomycin treatment	.
92	SRS715510	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048595/SRS715510/coverage.w5	384	384	0.02	sum_sqrt	92	RNA:ActD:ESC WT ESCs 0h after Actinomycin treatment	.
93	SRS715533	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715533/coverage.w5	384	384	0.02	sum_sqrt	93	RNA:GSM1518044: RNA-seq from WT ESCs, replicate A; Mus musculus; RNA-Seq	.
94	SRS715534	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715534/coverage.w5	384	384	0.02	sum_sqrt	94	RNA:GSM1518045: RNA-seq from WT ESCs, replicate B; Mus musculus; RNA-Seq	.
95	SRS715536	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715536/coverage.w5	384	384	0.02	sum_sqrt	95	RNA:GSM1518047: RNA-seq from WT EBs, replicate A; Mus musculus; RNA-Seq	.
96	SRS715537	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715537/coverage.w5	384	384	0.02	sum_sqrt	96	RNA:GSM1518048: RNA-seq from WT EBs, replicate B; Mus musculus; RNA-Seq	.
97	SRS715538	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715538/coverage.w5	384	384	0.02	sum_sqrt	97	RNA:GSM1518049: RNA-seq from Mettl3-KO ESCs, replicate A; Mus musculus; RNA-Seq	.
98	SRS715539	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715539/coverage.w5	384	384	0.02	sum_sqrt	98	RNA:GSM1518050: RNA-seq from Mettl3-KO ESCs, replicate B; Mus musculus; RNA-Seq	.
99	SRS715541	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715541/coverage.w5	384	384	0.02	sum_sqrt	99	RNA:GSM1518052: RNA-seq from Mettl3-KO EBs, replicate A; Mus musculus; RNA-Seq	.
100	SRS715542	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715542/coverage.w5	384	384	0.02	sum_sqrt	100	RNA:GSM1518053: RNA-seq from Mettl3-KO EBs, replicate B; Mus musculus; RNA-Seq	.
101	SRS715543	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715543/coverage.w5	384	384	0.02	sum_sqrt	101	RNA:GSM1518054: RNA-seq from mouseembryonic fibroblast; Mus musculus; RNA-Seq	.
102	SRS2281305	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281305/coverage.w5	384	384	0.02	sum_sqrt	102	RNA:ActD:ESC 26742 mESC no ActD Rep 3	.
103	SRS2281306	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281306/coverage.w5	384	384	0.02	sum_sqrt	103	RNA:ActD:ESC 26740 mESC no ActD Rep 1	.
104	SRS2281307	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281307/coverage.w5	384	384	0.02	sum_sqrt	104	RNA:ActD:ESC 26741 mESC no ActD Rep 2	.
105	SRS2281308	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281308/coverage.w5	384	384	0.02	sum_sqrt	105	RNA:ActD:ESC 26745 mESC 0.25h ActD Rep 3	.
106	SRS2281309	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281309/coverage.w5	384	384	0.02	sum_sqrt	106	RNA:ActD:ESC 26744 mESC 0.25h ActD Rep 2	.
107	SRS2281310	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281310/coverage.w5	384	384	0.02	sum_sqrt	107	RNA:ActD:ESC 26743 mESC 0.25h ActD Rep 1	.
108	SRS2281311	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281311/coverage.w5	384	384	0.02	sum_sqrt	108	RNA:ActD:ESC 26749 mESC 1h ActD Rep 1	.
109	SRS2281312	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281312/coverage.w5	384	384	0.02	sum_sqrt	109	RNA:ActD:ESC 26746 mESC 0.5h ActD Rep 1	.
110	SRS2281313	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281313/coverage.w5	384	384	0.02	sum_sqrt	110	RNA:ActD:ESC 26747 mESC 0.5h ActD Rep 2	.
111	SRS2281314	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281314/coverage.w5	384	384	0.02	sum_sqrt	111	RNA:ActD:ESC 26751 mESC 1h ActD Rep 3	.
112	SRS2281315	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281315/coverage.w5	384	384	0.02	sum_sqrt	112	RNA:ActD:ESC 26750 mESC 1h ActD Rep 2	.
113	SRS2281316	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281316/coverage.w5	384	384	0.02	sum_sqrt	113	RNA:ActD:ESC 26748 mESC 0.5h ActD Rep 3	.
114	SRS2281317	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281317/coverage.w5	384	384	0.02	sum_sqrt	114	RNA:ActD:ESC 26752 mESC 3h ActD Rep 1	.
115	SRS2281318	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281318/coverage.w5	384	384	0.02	sum_sqrt	115	RNA:ActD:ESC 26753 mESC 3h ActD Rep 2	.
116	SRS2281319	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281319/coverage.w5	384	384	0.02	sum_sqrt	116	RNA:ActD:ESC 26756 mESC 10h ActD Rep 2	.
117	SRS2281321	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281321/coverage.w5	384	384	0.02	sum_sqrt	117	RNA:ActD:ESC 26757 mESC 10h ActD Rep 3	.
118	SRS2281334	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP109094/SRS2281334/coverage.w5	384	384	0.02	sum_sqrt	118	RNA:ActD:ESC 26754 mESC 3h ActD Rep 3	.
119	SRS2987626	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987626/coverage.w5	384	384	0.02	sum_sqrt	119	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 30 min s4U total RNA (ED170904)	.
120	SRS2987627	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987627/coverage.w5	384	384	0.02	sum_sqrt	120	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 3h DRB, 30 min 500 uM s4U at 2.5h DRB, 0 min DRB release biochemically enriched RNA (ED170910)	.
121	SRS2987628	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987628/coverage.w5	384	384	0.02	sum_sqrt	121	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 3h DRB, 30 min 500 uM s4U at 2.5h DRB, 0 min DRB release biochemically enriched RNA (ED170909)	.
122	SRS2987629	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987629/coverage.w5	384	384	0.02	sum_sqrt	122	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 3h DRB, 30 min 500 uM s4U at 2h 40 min DRB, 10 min DRB release biochemically enriched RNA (ED170911)	.
